finding_id,severity,domain,claim,issue,evidence_ref,impact,recommendation,owner,status
AUD-001,P1,Claims e inferencia,El reporte presenta tesis fuertes de dominancia memetica/ontologica.,No hay matriz formal claim->evidencia->limite con nivel de confianza por claim.,EVID-REPORT-001|EVID-SCHEMA-001,Riesgo de sobregeneralizacion academica en conclusiones centrales.,Publicar una tabla de claims con evidencia primaria y limites explicitos por claim.,Research,mitigated
AUD-002,P1,Linaje de datos,Cada metrica del dashboard es auditable de punta a punta.,No existe artefacto formal de linaje campo-a-campo para metricas criticas.,EVID-SCHEMA-001|EVID-DIFFUSION-001|EVID-ACTIVITY-001,Dificulta auditoria externa y trazabilidad reproducible.,"Crear data lineage table (metrica, fuente, transformacion, script, salida).",Data,mitigated
AUD-003,P2,Cobertura temporal,La actividad temporal esta correctamente interpretada.,Ventana created_at=14.9 dias vs run_time=6.0 dias con 27 runs.,EVID-COVERAGE-001|EVID-DIFFUSION-001|EVID-ACTIVITY-001|EVID-UI-TEMPORAL-001,Riesgo medio de mezclar ritmo real y ritmo de captura en lecturas no expertas.,Mantener toggle por defecto en actividad real y reforzar notas en tablas run-based.,Frontend,mitigated
AUD-004,P1,Memetica,Top memes reflejan ideas culturales dominantes.,Raw top20: 18/20 con patrones API/tooling; vista cultural top20: 0/20.,EVID-MEME-001|EVID-MEME-002|EVID-MEME-003,Alta probabilidad de confundir repeticion tecnica con meme cultural.,Agregar filtro de boilerplate y doble ranking: tecnico vs cultural.,NLP,mitigated
AUD-005,P1,Ontologia del lenguaje,Actos/moods son comparables entre idiomas.,"Benchmark ontologico sin validacion suficiente: metrics=yes; labeled_total=240 (en=80, es=80).",EVID-SCHEMA-001|EVID-LANG-001|EVID-ONTO-BENCH-001|EVID-ONTO-BENCH-002,Riesgo alto de sesgo semantico en comparacion multilingue.,Evaluar precision/recall con muestra etiquetada estratificada por idioma.,Research,mitigated
AUD-006,P1,Sociologia y redes,Centralidades del mention graph identifican actores reales.,Top mention node='eudaemon_0' pagerank=0.007; nodos ruido en top10=0.,EVID-MENTION-001,Centralidad contaminada por tokens basura; inferencia de influencia comprometida.,Normalizar/filtrar handles invalidos antes del calculo de grafos.,Data,mitigated
AUD-007,P1,Interferencia,Score alto identifica interferencia significativa.,0/50 top rows son texto ruidoso/base64/repetitivo; split_scores=yes.,EVID-INTERF-001,Muchos falsos positivos en top ranking; costo de revision manual elevado.,Separar score tecnico (ruido/formato) de score semantico (injection/disclaimer).,NLP,mitigated
AUD-008,P2,Incidencia humana,Score captura intervencion humana relevante.,10/50 top rows tienen tooling_refs>=10 (sesgo tecnico).,EVID-INCID-001,Score tiende a privilegiar textos tecnicos sobre evidencia humana contextual.,Introducir subscore narrativo y etiqueta de tipo de evidencia.,NLP,mitigated
AUD-009,P2,Transmision entre agentes,Comparacion de transmision entre agentes es robusta y generalizable.,No se publica analisis de sensibilidad de thresholds ni baseline alternativo.,EVID-TRANS-SENS-001|EVID-TRANS-VSM-001|EVID-LANG-001,Interpretaciones comparativas con incertidumbre no cuantificada.,Publicar sensibilidad por threshold y baseline VSM/embeddings comparado.,Research,mitigated
AUD-010,P1,Reproducibilidad,Pipeline es totalmente reproducible.,Dependencias en pyproject usan rangos '>='; lockfile=yes.,EVID-PYPROJECT-001|EVID-LOCK-001,Resultados pueden variar entre entornos y fechas.,Fijar lockfile (uv/pip-tools/poetry) y versionar entorno de ejecucion.,Infra,mitigated
AUD-011,P1,Ingenieria y mantenibilidad,Validacion automatizada cubre regresiones criticas.,Tests=yes; CI=yes.,EVID-TESTS-001|EVID-CI-001,Alto riesgo de regresion silenciosa en metrica y UI.,Agregar smoke tests de datos + test unitarios clave + CI minima por PR.,Engineering,mitigated
AUD-012,P1,Seguridad y compliance,Operacion de publicacion no expone secretos.,Token en texto plano bajo .secrets: no.,EVID-SECRETS-001,"Riesgo alto de fuga accidental por copia, backup o comando incorrecto.",Mover secretos a keychain/env temporal y rotar token activo.,Security,mitigated
AUD-013,P2,Operacion deploy,Deploy automatico GitHub->Netlify esta garantizado.,"Hay evidencia de sitio Netlify localmente linkeado, pero no evidencia en repo de integracion GitHub.",EVID-NETLIFY-002,Riesgo de creer que hay deploy automatico cuando depende de pasos manuales.,Documentar estado de integracion y enlace de repo en runbook operativo.,Infra,mitigated
AUD-014,P3,Producto publico,La UI distingue actividad real y captura.,El riesgo misleading temporal esta mitigado en graficos principales y texto explicativo.,EVID-UI-TEMPORAL-001,Sin impacto material actual; mantener como control continuo.,Conservar esta separacion en cada nueva visualizacion temporal.,Frontend,mitigated
